Header;mobile;cable;micro;sonstiges
Amazon.de;0;0;0;0
Amazon.fr;0;0;0;0
Amazon.co.uk;0;0;0;0
Amazon.es;0;0;0;0
Amazon.it;0;0;0;0
Amazon.Inland;0;0;0;0
Amazon.EU ohne USt-ID Nummer;0;0;0;0
Amazon.Außerhalb EU;0;0;0;0
Opis-Shop.Inland;0;0;0;0
Opis-Shop.EU ohne USt-ID Nummer;0;0;0;0
Opis-Shop.Außerhalb EU;0;0;0;0
Ebay.Inland;0;0;0;0
Ebay.EU ohne USt-ID Nummer;0;0;0;0
Ebay.Außerhalb EU;0;0;0;0
Rakuten.Inland;0;0;0;0
Rakuten.EU ohne USt-ID Nummer;0;0;0;0
Rakuten.Außerhalb EU;0;0;0;0
Muster.Inland;0;0;0;0
Muster.EU ohne USt-ID Nummer;0;0;0;0
Muster.Außerhalb EU;0;0;0;0
Distributor.Inland;0;0;0;0
Distributor.EU ohne USt-ID Nummer;0;0;0;0
Distributor.Außerhalb EU;0;0;0;0
Ersatzlieferung.Inland;0;0;0;0
Ersatzlieferung.EU ohne USt-ID Nummer;0;0;0;0
Ersatzlieferung.Außerhalb EU;0;0;0;0
Returns.Amazon.de;0;0;0;0
Returns.Amazon.fr;0;0;0;0
Returns.Amazon.co.uk;0;0;0;0
Returns.Amazon.es;0;0;0;0
Returns.Amazon.it;0;0;0;0
Returns.Amazon.Inland;0;0;0;0
Returns.Amazon.EU ohne USt-ID Nummer;0;0;0;0
Returns.Amazon.Außerhalb EU;0;0;0;0
Returns.Opis-Shop.Inland;0;0;0;0
Returns.Opis-Shop.EU ohne USt-ID Nummer;0;0;0;0
Returns.Opis-Shop.Außerhalb EU;0;0;0;0
Returns.Ebay.Inland;0;0;0;0
Returns.Ebay.EU ohne USt-ID Nummer;0;0;0;0
Returns.Ebay.Außerhalb EU;0;0;0;0
Returns.Rakuten.Inland;0;0;0;0
Returns.Rakuten.EU ohne USt-ID Nummer;0;0;0;0
Returns.Rakuten.Außerhalb EU;0;0;0;0
Returns.Muster.Inland;0;0;0;0
Returns.Muster.EU ohne USt-ID Nummer;0;0;0;0
Returns.Muster.Außerhalb EU;0;0;0;0
Returns.Distributor.Inland;0;0;0;0
Returns.Distributor.EU ohne USt-ID Nummer;0;0;0;0
Returns.Distributor.Außerhalb EU;0;0;0;0
Returns.Ersatzlieferung.Inland;0;0;0;0
Returns.Ersatzlieferung.EU ohne USt-ID Nummer;0;0;0;0
Returns.Ersatzlieferung.Außerhalb EU;0;0;0;0